sentiment,message
0,What is wrong with your online store?! I've been searching the store for David Allen's Getting Things Done but can't find it. It's a bestseller so I assume it has to be in stock right? If you don't fix this immediately I won't hesitate to report you to my lawyer.
0,"Hello,

Why does your website have to be so damn complicated? All I want to do is learn how to run a marathon, is that really so hard? If you don't fix this immediately I won't hesitate to report you to the relevant authority.

Walter Cronkite"
5,"Hello,

How much does shipping on How to Win Friend and Influence People and Lord of the Rings cost? Are you able to bundle them together?

Sincerely,
Walter Cronkite"
2,"Hello,

I just want someone to help me make a payment, that's all. I'm having a problem with your shopping cart. Even though I've cancelled my order through shopping cart you guys still charged my credit card.."
3,"To Whom It May Concern:

Please close my account, I have no further need of this service. I'm having a problem with your delivery system. I've been searching the store for Humble Pie by Gordon Ramsey but can't find it. It's a bestseller so I assume it has to be in stock right?."
2,"

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

I've been searching the store for Lord of the Rings but can't find it. It's a bestseller so I assume it has to be in stock right? I just want someone to help me browse, that's all.

That aside, Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Martin"
3,"For some reason I can't seem to log into your shopping cart. Even though I've cancelled my order through online store you guys still charged my credit card. Could somebody please help me, I'm completely lost and don't know what to do next.

Douglas Johnson"
5,"Hey,

Thank you for all your help so far, your staff have been a delight!

"
4,"Hello,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Thanks,
Mary"
5,"Do you deliver internationally? I live in Turkey and would really like to order Gullivers Travels as I can't find it anywhere here.

Thanks,
Marcus"
4,What's your return policy? I just bought The Belgariad for my nephew and he absolutely HATES it. Wondering if I can exchange it for Gullivers Travels.
5,"Good morning,

Do you deliver internationally? I live in Democratic Republic of the Congo and would really like to order Danielle Steel's Wanderlust as I can't find it anywhere here.

Thank you,
Walter Cronkite"
0,"Hi,

What is wrong with your shopping cart?! I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right? Give me what I want, or else! You guys are a pack of dickheads.You better start talking sense you morons otherwise I'm taking my business elsewhere!

Thanks"
1,"Hi,

Your payments system is terrible. When I log in it gives me a dirty, great big error message! This happens every week. This time you've gone to far! You'll be hearing from the company directors, you can count on it.

A very angry customer"
0,"Hello,

What is wrong with your payments system?! Even though I've cancelled my order through website you guys still charged my credit card. Give me what I want, or else! You guys are a pack of wankers.You better start talking sense you galahs otherwise I'm taking my business elsewhere!

Sincerely,
Amber"
3,"

For some reason I can't seem to log into your shopping cart. I've been searching the store for Humble Pie by Gordon Ramsey but can't find it. It's a bestseller so I assume it has to be in stock right? How do I go about buy an item?

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Cheers,
Dave"
5,"To Whom It May Concern:

Thank you for all your help so far, your staff have been a delight!

Regards,
Amber"
2,"Could somebody please help me, I'm completely lost and don't know what to do next. I'm having a problem with your website. Even though I've cancelled my order through online store you guys still charged my credit card.."
1,"Hi,

Your payments system is terrible. Even though I've cancelled my order through payments system you guys still charged my credit card. If you don't fix this immediately I won't hesitate to report you to the company directors."
0,"Hello,

What is wrong with your contact center?! Even though I've cancelled my order through delivery system you guys still charged my credit card. If you don't fix this immediately I won't hesitate to report you to my lawyer."
5,"To Whom It May Concern:

Thank you for all your help so far, your staff have been a delight!

Thank you,
Walter Cronkite"
2,I've been searching the store for How to Win Friend and Influence People but can't find it. It's a bestseller so I assume it has to be in stock right? Can you please refund me the correct amount?
5,What's your return policy? I just bought David Allen's Getting Things Done for my nephew and he absolutely HATES it. Wondering if I can exchange it for How to Win Friend and Influence People.
1,"Why does your payments system have to be so damn complicated? All I want to do is buy an item, is that really so hard? I know a lot of people and I plan on telling them all about this little incident.

A very angry customer"
5,"Good afternoon,

Thank you for all your help so far, your staff have been a delight!

Thanks"
